country,model,first_registration,mileage,fuel_type,price
d,glc 220,11-2019,69334,d,31990
d,glc 300,08-2023,16864,d,56180
d,glc 300,08-2021,76450,2,37989
d,glc 400,09-2022,60285,d,49900
d,glc 200,08-2023,9725,b,47870
a,glc 220,09-2018,76000,d,34900
a,glc 300,01-2021,167544,2,32900
a,glc 350,02-2018,65500,2,39500
a,glc 250,09-2018,167000,d,34999
a,glc 220,02-2020,145000,d,38890
a,glc 250,01-2017,127000,d,30500
a,glc 220,09-2015,129000,d,24000
a,glc 220,07-2016,251982,d,17990
a,glc 220,07-2016,168500,d,25490
a,glc 300,09-2020,62580,3,35900
a,glc 220,09-2017,147000,d,26990
a,glc 220,10-2019,79850,d,41988
a,glc 400,09-2020,242800,d,29900
a,glc 250,03-2016,155000,d,27900
a,glc 300,05-2020,140000,b,30900
a,glc 250,10-2015,190000,d,25900
a,glc 200,08-2019,188000,d,33990
a,glc 220,07-2016,127000,d,25500
a,glc 220,03-2018,121000,d,33000
a,glc 220,10-2016,109990,d,32990
i,glc 220,07-2023,37568,3,49700
i,glc 43 amg,06-2017,45000,b,38500
i,glc 220,10-2020,104674,d,36800
i,glc 43 amg,07-2020,97000,b,40500
i,glc 200,07-2020,61209,d,33900
i,glc 300,09-2021,63000,3,41000
i,glc 200,02-2021,24000,b,43750
i,glc 250,05-2016,160000,d,26500
i,glc 300,12-2020,88842,d,44900
i,glc 220,08-2020,71186,d,33950
i,glc 250,02-2019,60761,d,37500
i,glc 300,01-2021,119170,d,34900
i,glc 300,03-2022,165212,3,35200
i,glc 43 amg,12-2017,97209,b,37999
i,glc 220,03-2024,14000,d,79990
i,glc 220,07-2020,68863,d,35900
i,glc 300,01-2020,65671,d,41900
i,glc 63 amg,12-2020,48316,b,59900
i,glc 220,04-2023,24970,3,54980
i,glc 43 amg,07-2021,39900,b,57990
d,glc 300,02-2021,152000,b,34990
d,glc 300,11-2018,53660,b,34980
d,glc 43 amg,10-2021,48350,b,54800
d,glc 300,10-2020,58179,3,38900
d,glc 300,11-2021,35001,3,47477
d,glc 220,04-2021,74972,d,39980
d,glc 43 amg,10-2020,58748,b,57940
d,glc 400,01-2021,24108,d,47350
d,glc 400,04-2021,64653,d,48990
d,glc 300,08-2021,76620,2,38850
d,glc 300,11-2021,44650,2,39900
d,glc 300,11-2021,54179,3,48850
d,glc 300,09-2023,21861,3,68900
d,glc 300,02-2020,89450,b,38749
d,glc 200,11-2024,8000,b,60810
d,glc 220,08-2023,15650,d,51450
d,glc 200,06-2023,39061,b,50700
d,glc 300,01-2019,44283,b,35512
d,glc 220,08-2023,29999,d,58280
d,glc 220,07-2021,81000,d,39990
a,glc 200,10-2023,9594,b,53990
a,glc 220,03-2021,179000,d,39990
a,glc 250,08-2016,105500,d,27990
a,glc 300,09-2021,40658,3,41990
a,glc 250,05-2016,143000,d,28000
a,glc 200,07-2020,72500,d,35990
a,glc 220,01-2016,170000,d,23790
a,glc 350,01-2018,83650,2,39490
a,glc 220,05-2018,125000,d,28490
a,glc 300,06-2021,44000,d,45000
a,glc 250,11-2018,67000,b,34990
a,glc 250,07-2018,133000,d,35499
a,glc 200,11-2019,120000,b,33990
a,glc 43 amg,03-2019,167000,b,34999
a,glc 300,09-2018,10600,b,39490
a,glc 200,07-2020,44500,d,38990
a,glc 250,10-2018,123508,d,30990
a,glc 220,10-2019,114000,d,37999
a,glc 200,08-2020,46000,d,43500
a,glc 220,11-2019,64500,d,42990
i,glc 250,07-2017,264000,d,20000
i,glc 220,11-2015,223966,d,20500
i,glc 200,10-2023,24000,2,47890
i,glc 220,11-2022,12000,d,64990
i,glc 220,02-2020,174879,d,36999
i,glc 220,04-2022,136332,d,34900
i,glc 250,07-2017,153000,d,33500
i,glc 220,05-2021,76980,d,34800
i,glc 220,07-2023,18990,3,74999
i,glc 300,01-2020,48454,d,39700
i,glc 300,12-2021,92488,3,46000
i,glc 200,07-2020,148902,d,28850
i,glc 300,10-2020,60000,2,34900
i,glc 250,04-2018,240000,d,23000
i,glc 220,01-2020,91507,d,38500
i,glc 43 amg,new,unknown,2,110390
i,glc 220,10-2018,90557,d,27900
i,glc 200,02-2020,51385,2,38900
i,glc 220,new,unknown,3,69153
i,glc 220,01-2020,134733,d,30900
d,glc 350,03-2017,42529,2,36800
d,glc 220,12-2022,38751,d,49700
d,glc 220,05-2023,34267,d,49610
d,glc 300,02-2024,14500,d,64440
d,glc 220,07-2023,23388,d,49900
d,glc 300,11-2021,77950,3,33250
d,glc 220,07-2019,78300,d,34980
d,glc 200,09-2023,21100,b,48660
d,glc 63 amg,02-2022,64855,b,68780
d,glc 63 amg,02-2021,76172,b,72889
d,glc 220,12-2024,2001,d,65900
d,glc 220,09-2020,89607,d,32490
d,glc 220,01-2023,16369,d,50890
d,glc 220,04-2020,119298,d,34900
d,glc 43 amg,08-2020,34900,b,53400
d,glc 200,03-2023,6043,b,47990
d,glc 63 amg,01-2023,13583,b,79700
d,glc 300,12-2023,13698,2,54610
d,glc 43 amg,10-2020,52200,b,49800
d,glc 300,12-2021,74405,d,45890
a,glc 350,11-2018,136236,d,41900
a,glc 43 amg,12-2018,115000,b,51500
a,glc 250,02-2019,84862,b,39500
a,glc 200,03-2020,78600,d,38990
a,glc 250,02-2018,80000,b,36990
a,glc 250,06-2019,122500,d,34990
a,glc 220,07-2019,97000,d,38500
a,glc 350,05-2017,165000,b,23000
a,glc 220,09-2019,64587,d,39900
a,glc 350,08-2018,90908,b,31900
